"","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"SUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",0,0,0,2,0,3,3,4,0,2,2,0,0,0,0,0,3,0,0,0,1,0,0,2,0
"LKA",0,0,0,5,5,0,3,5,3,5,6,5,0,6,5,5,5,5,5,5,3,6,2,6,0
"SHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCA",0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0
"VCT",0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,3,2,0,4,0,0
"SDN",0,0,0,3,1,5,5,6,6,3,4,3,5,3,2,3,3,4,6,5,6,5,5,5,0
"SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"SWZ",0,0,0,0,0,1,0,0,0,3,5,0,0,1,3,3,5,3,0,0,0,0,0,0,0
"SWE",0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"CHE",0,0,0,3,2,0,1,1,1,3,1,0,1,0,1,3,2,0,1,1,2,1,0,1,0
"SYR",0,0,0,1,1,0,0,2,5,2,0,2,0,2,2,1,2,6,2,0,2,0,0,0,0
"TWN",0,0,0,1,1,1,0,2,2,0,5,2,1,1,1,2,1,2,6,2,0,1,2,1,0
"TJK",0,0,0,3,1,5,4,2,2,6,2,3,2,5,2,4,3,5,4,1,3,3,3,3,0
"TZA",0,0,0,2,4,6,3,2,1,3,2,2,6,5,2,6,0,2,4,2,6,0,1,4,0
"THA",0,0,0,4,1,2,2,0,6,2,2,6,5,1,1,6,4,6,5,6,2,5,4,6,0
"TLS",0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,2,0,0,0,0,0,0,0,0
"TGO",0,0,0,4,0,3,0,4,4,0,0,0,0,0,0,3,5,4,0,4,0,0,0,0,0
"TKL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TON",0,0,0,0,0,0,3,3,0,0,4,0,0,1,0,0,0,0,2,0,1,0,0,3,0
"TTO",0,0,0,0,0,2,2,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
"TUN",0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,1,2,0,2,0,0,0,0
"TUR",0,0,0,0,0,4,0,6,5,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
"TKM",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TCA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0
"TUV",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"UGA",0,0,0,1,0,1,2,5,5,2,2,5,2,4,5,3,1,6,2,5,4,2,5,1,0
"UKR",0,0,0,0,3,0,0,0,0,4,5,0,0,0,4,0,0,5,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,2,0,1,0,2,2,0,2,0,0,0,2,0,1,0,0,2,0,0
"GBR",0,0,0,2,1,2,1,1,1,4,0,2,1,2,0,0,0,0,2,1,0,3,1,4,0
"USA",0,0,0,1,3,2,2,4,2,1,2,2,1,1,3,1,1,1,2,1,1,1,2,2,0
"URY",0,0,0,0,0,0,2,3,2,0,3,3,2,3,2,0,5,0,3,2,0,0,0,0,0
"UZB",0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"VUT",0,0,0,0,0,0,1,3,4,0,0,3,0,4,3,0,0,3,0,0,4,0,0,4,0
"VEN",0,0,0,0,4,0,0,0,5,0,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0
"VNM",0,0,0,4,5,0,6,4,6,4,3,6,0,0,5,0,1,4,5,4,0,5,3,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIR",0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WLF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YEM",0,0,0,0,1,3,0,1,4,2,0,1,1,1,0,0,3,4,1,2,1,6,4,1,0
"YMN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YUG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,1,0,2,0,0,1,2,4,1,2,1,4,0,0,2,0,3,1,1,1,0
"ZMB",0,0,0,0,6,2,0,6,4,3,2,0,3,5,6,2,4,4,3,3,1,1,3,4,0
"ZWE",0,0,0,0,2,5,0,4,2,2,6,2,4,0,2,2,6,4,3,6,2,2,6,0,0
